# Time,H3_IPR,Cubic_IPR
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.008016032064128098e-02,9.836605882944047252e-01,9.953387743685799816e-01
8.016032064128256196e-02,9.393843495552065548e-01,9.814994172788402693e-01
1.202404809619238429e-01,8.787043660269487910e-01,9.589070083418517187e-01
1.603206412825651239e-01,8.143090968305457533e-01,9.282444162768350715e-01
2.004008016032063910e-01,7.556395637457905545e-01,8.904159375270739307e-01
2.404809619238476859e-01,7.074184280098850808e-01,8.465006502516161380e-01
2.805611222444889807e-01,6.702799121265473614e-01,7.976986379951479522e-01
3.206412825651302478e-01,6.422242140932928889e-01,7.452741262841683367e-01
3.607214428857715149e-01,6.201479734970698487e-01,6.904992483037302176e-01
4.008016032064127820e-01,6.010772774494402837e-01,6.346019048378495064e-01
4.408817635270541047e-01,5.829798940436189403e-01,5.787205880337726871e-01
4.809619238476953718e-01,5.652390925005491562e-01,5.238682776014778053e-01
5.210420841683366389e-01,5.488090067056745625e-01,4.709066655526081280e-01
5.611222444889779615e-01,5.358577521722878156e-01,4.205311080657015421e-01
6.012024048096191731e-01,5.288461207179089296e-01,3.732659198512314203e-01
6.412825651302604957e-01,5.294915583344561583e-01,3.294689576058870695e-01
6.813627254509018183e-01,5.381355130424571032e-01,2.893439653523276478e-01
7.214428857715430299e-01,5.535993531959897407e-01,2.529588166411331218e-01
7.615230460921843525e-01,5.734373196398648842e-01,2.202676523912174555e-01
8.016032064128255641e-01,5.945480007566633640e-01,1.911348976126090726e-01
8.416833667334668867e-01,6.140163126624789136e-01,1.653592873634931459e-01
8.817635270541082093e-01,6.299263342913382635e-01,1.426963023407663844e-01
9.218436873747494209e-01,6.418121582715500262e-01,1.228777853627305017e-01
9.619238476953907435e-01,6.505293461851920922e-01,1.056279812721230005e-01
1.002004008016031955e+00,6.576537809247953170e-01,9.067571070195645788e-02
1.042084168336673278e+00,6.646788270373329421e-01,7.776282806535067538e-02
1.082164328657314600e+00,6.722603473146977482e-01,6.664944255983192012e-02
1.122244488977955923e+00,6.797399589551851307e-01,5.711656888763494422e-02
1.162324649298597246e+00,6.851452411859222380e-01,4.896691900778559620e-02
1.202404809619238346e+00,6.857124595709117587e-01,4.202447497143575739e-02
1.242484969939879669e+00,6.787468558576131850e-01,3.613334976480168936e-02
1.282565130260520991e+00,6.625232948266688293e-01,3.115629015022561982e-02
1.322645290581162314e+00,6.369918847541043982e-01,2.697304400412481318e-02
1.362725450901803637e+00,6.041247311770160389e-01,2.347871701578922721e-02
1.402805611222444737e+00,5.676379771908383054e-01,2.058218098104969834e-02
1.442885771543086060e+00,5.319015398893055524e-01,1.820455917944877391e-02
1.482965931863727382e+00,5.004556494883035667e-01,1.627779634836027528e-02
1.523046092184368705e+00,4.749451741145861439e-01,1.474331218135184127e-02
1.563126252505010028e+00,4.549226644146612819e-01,1.355073983254621514e-02
1.603206412825651128e+00,4.384124352697331695e-01,1.265675719868447624e-02
1.643286573146292451e+00,4.229163260761681919e-01,1.202402686759164972e-02
1.683366733466933773e+00,4.065532266201964950e-01,1.162026389454698036e-02
1.723446893787575096e+00,3.889286879438607070e-01,1.141744533548797944e-02
1.763527054108216419e+00,3.713098087001013847e-01,1.139116158214991542e-02
1.803607214428857741e+00,3.560547452403213242e-01,1.152009127178859650e-02
1.843687374749498842e+00,3.457206747019045956e-01,1.178556580373345958e-02
1.883767535070140164e+00,3.423235328320130555e-01,1.217118296618324193e-02
1.923847695390781487e+00,3.468655700099879113e-01,1.266243498502653796e-02
1.963927855711422810e+00,3.590292974343759491e-01,1.324633234909286875e-02
2.004008016032063910e+00,3.770116867307194974e-01,1.391102606096000435e-02
2.044088176352705233e+00,3.976266785481382682e-01,1.464544939197455833e-02
2.084168336673346555e+00,4.168456770430291058e-01,1.543901042876229257e-02
2.124248496993987878e+00,4.308143169343253698e-01,1.628136624321091866e-02
2.164328657314629201e+00,4.370506071233757339e-01,1.716229913689178849e-02
2.204408817635270523e+00,4.352164458117943613e-01,1.807170004030358296e-02
2.244488977955911846e+00,4.269793545915203659e-01,1.899964847414735425e-02
2.284569138276553169e+00,4.150525878604474084e-01,1.993656681386971399e-02
2.324649298597194491e+00,4.020069224784572071e-01,2.087342136541419507e-02
2.364729458917835370e+00,3.894661874695603543e-01,2.180194355887492969e-02
2.404809619238476692e+00,3.779022553646858018e-01,2.271484975731605585e-02
2.444889779559118015e+00,3.669080921842277077e-01,2.360604492687608247e-02
2.484969939879759337e+00,3.557018394438282161e-01,2.447080183280614385e-02
2.525050100200400660e+00,3.436217347829564894e-01,2.530591207804630538e-02
2.565130260521041983e+00,3.304514105655121381e-01,2.610980790850698716e-02
2.605210420841683305e+00,3.165148619102539085e-01,2.688265442632647995e-02
2.645290581162324628e+00,3.025700906021144276e-01,2.762641103444677532e-02
2.685370741482965951e+00,2.895756800325921532e-01,2.834485828345096117e-02
2.725450901803607273e+00,2.784199566028595640e-01,2.904358238254788060e-02
2.765531062124248596e+00,2.696707175258689082e-01,2.972990464013862758e-02
2.805611222444889474e+00,2.633900085011066650e-01,3.041273885644607891e-02
2.845691382765530797e+00,2.590999760594977497e-01,3.110235839654700365e-02
2.885771543086172120e+00,2.559556581431862154e-01,3.181005838805195385e-02
2.925851703406813442e+00,2.530784708825833951e-01,3.254770841193409259e-02
2.965931863727454765e+00,2.499125850723759867e-01,3.332720622387501386e-02
3.006012024048096087e+00,2.464323429784417985e-01,3.415986146843793397e-02
3.046092184368737410e+00,2.431112051211849756e-01,3.505575573413277635e-02
3.086172344689378733e+00,2.406979141580687931e-01,3.602313846756924343e-02
3.126252505010020055e+00,2.399071687502215555e-01,3.706792382666791036e-02
3.166332665330661378e+00,2.411590529364569802e-01,3.819335064375306565e-02
3.206412825651302256e+00,2.444758188643897934e-01,3.939985535580453613e-02
